16 22 32
minecraft:acacia_button face=ceiling,facing=east,powered=false color=0,uv=1
minecraft:acacia_button face=ceiling,facing=east,powered=true color=2,uv=3
minecraft:acacia_button face=ceiling,facing=north,powered=false color=4,uv=5
minecraft:acacia_button face=ceiling,facing=north,powered=true color=6,uv=7
minecraft:acacia_button face=ceiling,facing=south,powered=false color=8,uv=9
minecraft:acacia_button face=ceiling,facing=south,powered=true color=10,uv=11
minecraft:acacia_button face=ceiling,facing=west,powered=false color=12,uv=13
minecraft:acacia_button face=ceiling,facing=west,powered=true color=14,uv=15
minecraft:acacia_button face=floor,facing=east,powered=false color=16,uv=17
minecraft:acacia_button face=floor,facing=east,powered=true color=18,uv=19
minecraft:acacia_button face=floor,facing=north,powered=false color=20,uv=21
minecraft:acacia_button face=floor,facing=north,powered=true color=22,uv=23
minecraft:acacia_button face=floor,facing=south,powered=false color=24,uv=25
minecraft:acacia_button face=floor,facing=south,powered=true color=26,uv=27
minecraft:acacia_button face=floor,facing=west,powered=false color=28,uv=29
minecraft:acacia_button face=floor,facing=west,powered=true color=30,uv=31
minecraft:acacia_button face=wall,facing=east,powered=false color=32,uv=33
minecraft:acacia_button face=wall,facing=east,powered=true color=34,uv=35
minecraft:acacia_button face=wall,facing=north,powered=false color=36,uv=37
minecraft:acacia_button face=wall,facing=north,powered=true color=38,uv=39
minecraft:acacia_button face=wall,facing=south,powered=false color=40,uv=41
minecraft:acacia_button face=wall,facing=south,powered=true color=42,uv=43
minecraft:acacia_button face=wall,facing=west,powered=false color=44,uv=45
minecraft:acacia_button face=wall,facing=west,powered=true color=46,uv=47
minecraft:acacia_door facing=east,half=lower,hinge=left,open=false color=48,uv=49
minecraft:acacia_door facing=east,half=lower,hinge=left,open=true color=50,uv=51
minecraft:acacia_door facing=east,half=lower,hinge=right,open=false color=52,uv=53
minecraft:acacia_door facing=east,half=lower,hinge=right,open=true color=54,uv=55
minecraft:acacia_door facing=east,half=upper,hinge=left,open=false color=56,uv=57
minecraft:acacia_door facing=east,half=upper,hinge=left,open=true color=58,uv=59
minecraft:acacia_door facing=east,half=upper,hinge=right,open=false color=60,uv=61
minecraft:acacia_door facing=east,half=upper,hinge=right,open=true color=62,uv=63
minecraft:acacia_door facing=north,half=lower,hinge=left,open=false color=64,uv=65
minecraft:acacia_door facing=north,half=lower,hinge=left,open=true color=66,uv=67
minecraft:acacia_door facing=north,half=lower,hinge=right,open=false color=68,uv=69
minecraft:acacia_door facing=north,half=lower,hinge=right,open=true color=70,uv=71
minecraft:acacia_door facing=north,half=upper,hinge=left,open=false color=72,uv=73
minecraft:acacia_door facing=north,half=upper,hinge=left,open=true color=74,uv=75
minecraft:acacia_door facing=north,half=upper,hinge=right,open=false color=76,uv=77
minecraft:acacia_door facing=north,half=upper,hinge=right,open=true color=78,uv=79
minecraft:acacia_door facing=south,half=lower,hinge=left,open=false color=80,uv=81
minecraft:acacia_door facing=south,half=lower,hinge=left,open=true color=82,uv=83
minecraft:acacia_door facing=south,half=lower,hinge=right,open=false color=84,uv=85
minecraft:acacia_door facing=south,half=lower,hinge=right,open=true color=86,uv=87
minecraft:acacia_door facing=south,half=upper,hinge=left,open=false color=88,uv=89
minecraft:acacia_door facing=south,half=upper,hinge=left,open=true color=90,uv=91
minecraft:acacia_door facing=south,half=upper,hinge=right,open=false color=92,uv=93
minecraft:acacia_door facing=south,half=upper,hinge=right,open=true color=94,uv=95
minecraft:acacia_door facing=west,half=lower,hinge=left,open=false color=96,uv=97
minecraft:acacia_door facing=west,half=lower,hinge=left,open=true color=98,uv=99
minecraft:acacia_door facing=west,half=lower,hinge=right,open=false color=100,uv=101
minecraft:acacia_door facing=west,half=lower,hinge=right,open=true color=102,uv=103
minecraft:acacia_door facing=west,half=upper,hinge=left,open=false color=104,uv=105
minecraft:acacia_door facing=west,half=upper,hinge=left,open=true color=106,uv=107
minecraft:acacia_door facing=west,half=upper,hinge=right,open=false color=108,uv=109
minecraft:acacia_door facing=west,half=upper,hinge=right,open=true color=110,uv=111
